Entity,Code,Date,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Afghanistan,AFG,2020-06-20,546,21
Afghanistan,AFG,2020-06-21,409,12
Afghanistan,AFG,2020-06-22,310,12
Afghanistan,AFG,2020-06-23,324,20
Afghanistan,AFG,2020-06-24,234,21
Afghanistan,AFG,2020-06-25,460,36
Afghanistan,AFG,2020-06-26,276,8
Afghanistan,AFG,2020-06-27,165,34
Afghanistan,AFG,2020-06-28,351,12
Afghanistan,AFG,2020-06-29,271,12
Afghanistan,AFG,2020-06-30,279,12
Afghanistan,AFG,2020-07-01,319,28
Afghanistan,AFG,2020-07-02,186,29
Afghanistan,AFG,2020-07-03,302,12
Afghanistan,AFG,2020-07-04,348,7
Afghanistan,AFG,2020-07-05,279,38
Afghanistan,AFG,2020-07-06,239,34
Afghanistan,AFG,2020-07-07,194,22
Afghanistan,AFG,2020-07-08,210,17
Afghanistan,AFG,2020-07-09,314,20
Afghanistan,AFG,2020-07-10,286,14
Afghanistan,AFG,2020-07-11,172,23
Afghanistan,AFG,2020-07-12,85,16
Afghanistan,AFG,2020-07-13,154,28
Afghanistan,AFG,2020-07-14,135,24
Afghanistan,AFG,2020-07-15,254,32
Afghanistan,AFG,2020-07-16,76,21
Afghanistan,AFG,2020-07-17,159,32
Afghanistan,AFG,2020-07-18,60,17
Afghanistan,AFG,2020-07-19,174,17
Afghanistan,AFG,2020-07-20,40,2
Afghanistan,AFG,2020-07-21,112,3
Afghanistan,AFG,2020-07-22,112,4
Afghanistan,AFG,2020-07-23,201,21
Afghanistan,AFG,2020-07-24,60,14
Afghanistan,AFG,2020-07-25,48,22
Afghanistan,AFG,2020-07-26,121,12
Afghanistan,AFG,2020-07-27,106,10
Afghanistan,AFG,2020-07-28,105,1
Afghanistan,AFG,2020-07-29,105,1
Afghanistan,AFG,2020-07-30,69,10
Afghanistan,AFG,2020-07-31,133,1
Afghanistan,AFG,2020-08-01,35,1
Afghanistan,AFG,2020-08-02,1,1
Afghanistan,AFG,2020-08-03,36,4
Afghanistan,AFG,2020-08-04,36,0
Afghanistan,AFG,2020-08-05,47,6
Afghanistan,AFG,2020-08-06,108,5
Afghanistan,AFG,2020-08-07,78,9
Afghanistan,AFG,2020-08-08,40,5
Afghanistan,AFG,2020-08-09,37,6
Afghanistan,AFG,2020-08-10,70,8
Afghanistan,AFG,2020-08-11,107,17
Afghanistan,AFG,2020-08-12,76,10
Afghanistan,AFG,2020-08-13,86,9
Afghanistan,AFG,2020-08-14,75,5
Afghanistan,AFG,2020-08-15,45,1
Afghanistan,AFG,2020-08-16,48,5
Afghanistan,AFG,2020-08-17,77,2
Afghanistan,AFG,2020-08-18,43,4
Afghanistan,AFG,2020-08-19,40,2
Afghanistan,AFG,2020-08-20,102,2
Afghanistan,AFG,2020-08-21,33,0
Afghanistan,AFG,2020-08-22,59,0
Afghanistan,AFG,2020-08-23,46,2
Afghanistan,AFG,2020-08-24,55,2
Afghanistan,AFG,2020-08-25,16,8
Afghanistan,AFG,2020-08-26,42,4
Afghanistan,AFG,2020-08-27,16,0
Afghanistan,AFG,2020-08-28,11,1
Afghanistan,AFG,2020-08-29,3,0
Afghanistan,AFG,2020-08-30,22,0
Afghanistan,AFG,2020-08-31,4,0
Afghanistan,AFG,2020-09-01,34,4
Afghanistan,AFG,2020-09-02,50,3
Afghanistan,AFG,2020-09-03,45,0
Afghanistan,AFG,2020-09-04,16,0
Afghanistan,AFG,2020-09-05,20,0
Afghanistan,AFG,2020-09-06,74,3
Afghanistan,AFG,2020-09-07,96,3
Afghanistan,AFG,2020-09-08,26,3
Afghanistan,AFG,2020-09-09,24,2
Afghanistan,AFG,2020-09-10,28,0
Afghanistan,AFG,2020-09-11,34,0
Afghanistan,AFG,2020-09-12,35,0
Afghanistan,AFG,2020-09-13,75,0
Afghanistan,AFG,2020-09-14,56,6
Afghanistan,AFG,2020-09-15,43,1
Afghanistan,AFG,2020-09-16,40,10
Afghanistan,AFG,2020-09-17,17,0
Afghanistan,AFG,2020-09-18,25,1
Afghanistan,AFG,2020-09-19,22,0
Afghanistan,AFG,2020-09-20,125,4
Afghanistan,AFG,2020-09-21,30,3
Afghanistan,AFG,2020-09-22,22,1
Afghanistan,AFG,2020-09-23,49,1
Afghanistan,AFG,2020-09-24,25,5
Afghanistan,AFG,2020-09-25,16,0
Afghanistan,AFG,2020-09-26,6,2
Afghanistan,AFG,2020-09-27,35,0
Afghanistan,AFG,2020-09-28,12,3
Afghanistan,AFG,2020-09-29,15,2
Afghanistan,AFG,2020-09-30,14,0
Afghanistan,AFG,2020-10-01,17,0
Afghanistan,AFG,2020-10-02,5,0
Afghanistan,AFG,2020-10-03,7,4
Afghanistan,AFG,2020-10-04,44,0
Afghanistan,AFG,2020-10-05,81,4
Afghanistan,AFG,2020-10-06,64,1
Afghanistan,AFG,2020-10-07,62,2
Afghanistan,AFG,2020-10-08,68,1
Afghanistan,AFG,2020-10-09,77,2
Afghanistan,AFG,2020-10-10,10,1
Afghanistan,AFG,2020-10-11,96,4
Afghanistan,AFG,2020-10-12,71,2
Afghanistan,AFG,2020-10-13,58,1
Afghanistan,AFG,2020-10-14,66,1
Afghanistan,AFG,2020-10-15,32,0
Afghanistan,AFG,2020-10-16,62,4
Afghanistan,AFG,2020-10-17,53,3
Afghanistan,AFG,2020-10-18,59,4
Afghanistan,AFG,2020-10-19,87,5
Afghanistan,AFG,2020-10-20,82,2
Afghanistan,AFG,2020-10-21,141,2
Afghanistan,AFG,2020-10-22,116,4
Afghanistan,AFG,2020-10-23,61,2
Afghanistan,AFG,2020-10-24,81,4
Afghanistan,AFG,2020-10-25,65,3
Afghanistan,AFG,2020-10-26,104,4
Afghanistan,AFG,2020-10-27,95,5
Afghanistan,AFG,2020-10-28,113,6
Afghanistan,AFG,2020-10-29,123,3
Afghanistan,AFG,2020-10-30,66,1
Afghanistan,AFG,2020-10-31,91,3
Afghanistan,AFG,2020-11-01,76,0
Afghanistan,AFG,2020-11-02,132,6
Afghanistan,AFG,2020-11-03,95,3
Afghanistan,AFG,2020-11-04,86,4
Afghanistan,AFG,2020-11-05,121,6
Afghanistan,AFG,2020-11-06,40,0
Afghanistan,AFG,2020-11-07,58,2
Afghanistan,AFG,2020-11-08,126,6
Afghanistan,AFG,2020-11-09,138,12
Afghanistan,AFG,2020-11-10,166,3
Afghanistan,AFG,2020-11-11,146,4
Afghanistan,AFG,2020-11-12,186,10
Afghanistan,AFG,2020-11-13,174,4
Afghanistan,AFG,2020-11-14,66,10
Afghanistan,AFG,2020-11-15,205,12
Afghanistan,AFG,2020-11-16,228,15
Afghanistan,AFG,2020-11-17,213,6
Afghanistan,AFG,2020-11-18,243,7
Afghanistan,AFG,2020-11-19,253,5
Afghanistan,AFG,2020-11-20,186,13
Afghanistan,AFG,2020-11-21,140,12
Afghanistan,AFG,2020-11-22,203,12
Afghanistan,AFG,2020-11-23,282,12
Afghanistan,AFG,2020-11-24,186,13
Afghanistan,AFG,2020-11-25,210,13
Afghanistan,AFG,2020-11-26,216,9
Afghanistan,AFG,2020-11-27,123,3
Afghanistan,AFG,2020-11-28,121,12
Afghanistan,AFG,2020-11-29,272,22
Afghanistan,AFG,2020-11-30,158,21
Afghanistan,AFG,2020-12-01,242,27
Afghanistan,AFG,2020-12-02,202,19
Afghanistan,AFG,2020-12-03,119,5
Afghanistan,AFG,2020-12-04,0,0
Afghanistan,AFG,2020-12-05,235,18
Afghanistan,AFG,2020-12-06,234,10
Afghanistan,AFG,2020-12-07,210,26
Afghanistan,AFG,2020-12-08,200,6
Afghanistan,AFG,2020-12-09,135,13
Africa,,2020-01-22,0,0
Africa,,2020-01-23,0,0
Africa,,2020-01-24,0,0
Africa,,2020-01-25,0,0
Africa,,2020-01-26,0,0
Africa,,2020-01-27,0,0
Africa,,2020-01-28,0,0
Africa,,2020-01-29,0,0
Africa,,2020-01-30,0,0
Africa,,2020-01-31,0,0
Africa,,2020-02-01,0,0
Africa,,2020-02-02,0,0
Africa,,2020-02-03,0,0
Africa,,2020-02-04,0,0
Africa,,2020-02-05,0,0
Africa,,2020-02-06,0,0
Africa,,2020-02-07,0,0
Africa,,2020-02-08,0,0
Africa,,2020-02-09,0,0
Africa,,2020-02-10,0,0
Africa,,2020-02-11,0,0
Africa,,2020-02-12,0,0
Africa,,2020-02-13,0,0
Africa,,2020-02-14,1,0
Africa,,2020-02-15,0,0
Africa,,2020-02-16,0,0
Africa,,2020-02-17,0,0
Africa,,2020-02-18,0,0
Africa,,2020-02-19,0,0
Africa,,2020-02-20,0,0
Africa,,2020-02-21,0,0
Africa,,2020-02-22,0,0
Africa,,2020-02-23,0,0
Africa,,2020-02-24,0,0
Africa,,2020-02-25,1,0
Africa,,2020-02-26,0,0
Africa,,2020-02-27,0,0
Africa,,2020-02-28,1,0
Africa,,2020-02-29,0,0
Africa,,2020-03-01,1,0
Africa,,2020-03-02,4,0
Africa,,2020-03-03,3,0
Africa,,2020-03-04,10,0
Africa,,2020-03-05,3,0
Africa,,2020-03-06,19,0
Africa,,2020-03-07,0,0
Africa,,2020-03-08,40,1
Africa,,2020-03-09,8,0
Africa,,2020-03-10,13,1
Africa,,2020-03-11,14,0
Africa,,2020-03-12,16,1
Africa,,2020-03-13,43,3
Africa,,2020-03-14,77,1
Africa,,2020-03-15,59,1
Africa,,2020-03-16,87,0
Africa,,2020-03-17,84,3
Africa,,2020-03-18,117,6
Africa,,2020-03-19,180,3
Africa,,2020-03-20,188,6
Africa,,2020-03-21,203,10
Africa,,2020-03-22,265,12
Africa,,2020-03-23,381,9
Africa,,2020-03-24,432,7
Africa,,2020-03-25,523,9
Africa,,2020-03-26,553,18
Africa,,2020-03-27,559,24
Africa,,2020-03-28,340,19
Africa,,2020-03-29,561,18
Africa,,2020-03-30,410,21
Africa,,2020-03-31,585,27
Africa,,2020-04-01,599,34
Africa,,2020-04-02,652,53
Africa,,2020-04-03,881,44
Africa,,2020-04-04,679,52
Africa,,2020-04-05,706,61
Africa,,2020-04-06,701,43
Africa,,2020-04-07,633,46
Africa,,2020-04-08,804,41
Africa,,2020-04-09,813,53
Africa,,2020-04-10,664,66
Africa,,2020-04-11,714,49
Africa,,2020-04-12,864,46
Africa,,2020-04-13,784,46
Africa,,2020-04-14,963,39
Africa,,2020-04-15,954,37
Africa,,2020-04-16,1168,55
Africa,,2020-04-17,1407,51
Africa,,2020-04-18,1305,42
Africa,,2020-04-19,1209,63
Africa,,2020-04-20,1173,38
Africa,,2020-04-21,1055,30
Africa,,2020-04-22,1402,51
Africa,,2020-04-23,1450,57
Africa,,2020-04-24,1707,27
Africa,,2020-04-25,1231,51
Africa,,2020-04-26,1534,48
Africa,,2020-04-27,1334,39
Africa,,2020-04-28,1627,61
Africa,,2020-04-29,2013,65
Africa,,2020-04-30,2013,46
Africa,,2020-05-01,1750,58
Africa,,2020-05-02,2196,67
Africa,,2020-05-03,1535,37
Africa,,2020-05-04,2658,46
Africa,,2020-05-05,2038,66
Africa,,2020-05-06,2546,98
Africa,,2020-05-07,2490,67
Africa,,2020-05-08,3805,81
Africa,,2020-05-09,2722,67
Africa,,2020-05-10,2727,69
Africa,,2020-05-11,3026,54
Africa,,2020-05-12,3134,51
Africa,,2020-05-13,2938,98
Africa,,2020-05-14,2961,69
Africa,,2020-05-15,2928,62
Africa,,2020-05-16,3328,84
Africa,,2020-05-17,2988,51
Africa,,2020-05-18,3668,73
Africa,,2020-05-19,3149,75
Africa,,2020-05-20,3655,83
Africa,,2020-05-21,4692,105
Africa,,2020-05-22,4115,89
Africa,,2020-05-23,3872,73
Africa,,2020-05-24,4062,97
Africa,,2020-05-25,4080,125
Africa,,2020-05-26,3562,112
Africa,,2020-05-27,5279,108
Africa,,2020-05-28,4719,92
Africa,,2020-05-29,5923,131
Africa,,2020-05-30,6224,147
Africa,,2020-05-31,5195,153
Africa,,2020-06-01,5706,121
Africa,,2020-06-02,4875,151
Africa,,2020-06-03,5139,107
Africa,,2020-06-04,7132,155
Africa,,2020-06-05,7132,159
Africa,,2020-06-06,6659,140
Africa,,2020-06-07,6122,133
Africa,,2020-06-08,6809,175
Africa,,2020-06-09,6496,175
Africa,,2020-06-10,6516,150
Africa,,2020-06-11,7395,163
Africa,,2020-06-12,8078,199
Africa,,2020-06-13,8080,203
Africa,,2020-06-14,8852,206
Africa,,2020-06-15,9623,303
Africa,,2020-06-16,7703,253
Africa,,2020-06-17,8707,203
Africa,,2020-06-18,7974,201
Africa,,2020-06-19,10122,263
Africa,,2020-06-20,11198,236
Africa,,2020-06-21,9278,197
Africa,,2020-06-22,8989,223
Africa,,2020-06-23,9144,282
Africa,,2020-06-24,11267,235
Africa,,2020-06-25,12045,214
Africa,,2020-06-26,11755,213
Africa,,2020-06-27,12009,202
Africa,,2020-06-28,10590,179
Africa,,2020-06-29,11042,216
Africa,,2020-06-30,11564,267
Africa,,2020-07-01,13415,259
Africa,,2020-07-02,14120,238
Africa,,2020-07-03,15133,239
Africa,,2020-07-04,15611,201
Africa,,2020-07-05,13562,280
Africa,,2020-07-06,13844,249
Africa,,2020-07-07,17450,365
Africa,,2020-07-08,14710,255
Africa,,2020-07-09,19199,226
Africa,,2020-07-10,17606,310
Africa,,2020-07-11,18861,220
Africa,,2020-07-12,16648,257
Africa,,2020-07-13,16137,218
Africa,,2020-07-14,14470,299
Africa,,2020-07-15,18060,226
Africa,,2020-07-16,20331,370
Africa,,2020-07-17,19540,315
Africa,,2020-07-18,19170,282
Africa,,2020-07-19,18629,214
Africa,,2020-07-20,15295,254
Africa,,2020-07-21,13864,314
Africa,,2020-07-22,19724,708
Africa,,2020-07-23,18357,269
Africa,,2020-07-24,22111,390
Africa,,2020-07-25,18234,417
Africa,,2020-07-26,18232,245
Africa,,2020-07-27,13428,409
Africa,,2020-07-28,13499,322
Africa,,2020-07-29,17559,367
Africa,,2020-07-30,17407,454
Africa,,2020-07-31,19153,364
Africa,,2020-08-01,16949,292
Africa,,2020-08-02,12655,332
Africa,,2020-08-03,10853,321
Africa,,2020-08-04,9915,472
Africa,,2020-08-05,15374,539
Africa,,2020-08-06,14258,431
Africa,,2020-08-07,13562,439
Africa,,2020-08-08,14208,413
Africa,,2020-08-09,12356,358
Africa,,2020-08-10,9055,319
Africa,,2020-08-11,7960,269
Africa,,2020-08-12,9176,410
Africa,,2020-08-13,10428,405
Africa,,2020-08-14,12543,416
Africa,,2020-08-15,11761,240
Africa,,2020-08-16,9960,295
Africa,,2020-08-17,8893,264
Africa,,2020-08-18,8651,415
Africa,,2020-08-19,10920,328
Africa,,2020-08-20,10604,337
Africa,,2020-08-21,10254,352
Africa,,2020-08-22,10338,274
Africa,,2020-08-23,9140,182
Africa,,2020-08-24,7512,220
Africa,,2020-08-25,7614,283
Africa,,2020-08-26,8784,319
Africa,,2020-08-27,8589,253
Africa,,2020-08-28,8039,231
Africa,,2020-08-29,8477,331
Africa,,2020-08-30,8457,164
Africa,,2020-08-31,6805,226
Africa,,2020-09-01,7157,242
Africa,,2020-09-02,8714,265
Africa,,2020-09-03,7747,297
Africa,,2020-09-04,8578,238
Africa,,2020-09-05,7392,225
Africa,,2020-09-06,7823,224
Africa,,2020-09-07,6876,218
Africa,,2020-09-08,7646,226
Africa,,2020-09-09,8295,192
Africa,,2020-09-10,8050,185
Africa,,2020-09-11,8679,231
Africa,,2020-09-12,7394,146
Africa,,2020-09-13,6794,121
Africa,,2020-09-14,6502,171
Africa,,2020-09-15,6563,277
Africa,,2020-09-16,7310,179
Africa,,2020-09-17,8605,179
Africa,,2020-09-18,8141,193
Africa,,2020-09-19,8727,202
Africa,,2020-09-20,8439,133
Africa,,2020-09-21,6127,126
Africa,,2020-09-22,6860,240
Africa,,2020-09-23,8727,209
Africa,,2020-09-24,8186,175
Africa,,2020-09-25,7965,154
Africa,,2020-09-26,6422,168
Africa,,2020-09-27,8365,135
Africa,,2020-09-28,5666,294
Africa,,2020-09-29,7516,217
Africa,,2020-09-30,8428,189
Africa,,2020-10-01,7266,217
Africa,,2020-10-02,8853,149
Africa,,2020-10-03,8829,111
Africa,,2020-10-04,8084,170
Africa,,2020-10-05,4714,128
Africa,,2020-10-06,6589,188
Africa,,2020-10-07,10558,269
Africa,,2020-10-08,10908,298
Africa,,2020-10-09,8554,236
Africa,,2020-10-10,13525,271
Africa,,2020-10-11,8975,208
Africa,,2020-10-12,5899,193
Africa,,2020-10-13,7834,271
Africa,,2020-10-14,11502,263
Africa,,2020-10-15,9116,254
Africa,,2020-10-16,10683,207
Africa,,2020-10-17,14262,265
Africa,,2020-10-18,8188,185
Africa,,2020-10-19,9702,184
Africa,,2020-10-20,9776,298
Africa,,2020-10-21,10474,252
Africa,,2020-10-22,10970,216
Africa,,2020-10-23,10430,224
Africa,,2020-10-24,11757,223
Africa,,2020-10-25,9085,116
Africa,,2020-10-26,10723,348
Africa,,2020-10-27,8645,182
Africa,,2020-10-28,11900,346
Africa,,2020-10-29,11066,202
Africa,,2020-10-30,13604,292
Africa,,2020-10-31,11074,224
Africa,,2020-11-01,10311,322
Africa,,2020-11-02,7618,214
Africa,,2020-11-03,10866,316
Africa,,2020-11-04,14001,235
Africa,,2020-11-05,15302,304
Africa,,2020-11-06,11683,223
Africa,,2020-11-07,14960,378
Africa,,2020-11-08,12580,515
Africa,,2020-11-09,8904,249
Africa,,2020-11-10,13077,341
Africa,,2020-11-11,14146,332
Africa,,2020-11-12,15781,269
Africa,,2020-11-13,14581,280
Africa,,2020-11-14,13943,235
Africa,,2020-11-15,12693,296
Africa,,2020-11-16,10087,279
Africa,,2020-11-17,13081,393
Africa,,2020-11-18,15155,392
Africa,,2020-11-19,13955,276
Africa,,2020-11-20,15655,412
Africa,,2020-11-21,13452,314
Africa,,2020-11-22,12857,290
Africa,,2020-11-23,9833,269
Africa,,2020-11-24,12664,344
Africa,,2020-11-25,14670,316
Africa,,2020-11-26,13934,297
Africa,,2020-11-27,15703,320
Africa,,2020-11-28,13713,235
Africa,,2020-11-29,12888,224
Africa,,2020-11-30,10521,269
Africa,,2020-12-01,10864,258
Africa,,2020-12-02,16341,330
Africa,,2020-12-03,15805,267
Africa,,2020-12-04,17670,430
Africa,,2020-12-05,14959,287
Africa,,2020-12-06,13456,306
Africa,,2020-12-07,10570,248
Africa,,2020-12-08,13006,402
Africa,,2020-12-09,19561,350
Albania,ALB,2020-01-23,0,0
Albania,ALB,2020-01-24,0,0
Albania,ALB,2020-01-25,0,0
Albania,ALB,2020-01-26,0,0
Albania,ALB,2020-01-27,0,0
Albania,ALB,2020-01-28,0,0
Albania,ALB,2020-01-29,0,0
Albania,ALB,2020-01-30,0,0
Albania,ALB,2020-01-31,0,0
Albania,ALB,2020-02-01,0,0
Albania,ALB,2020-02-02,0,0
Albania,ALB,2020-02-03,0,0
Albania,ALB,2020-02-04,0,0
Albania,ALB,2020-02-05,0,0
Albania,ALB,2020-02-06,0,0
Albania,ALB,2020-02-07,0,0
Albania,ALB,2020-02-08,0,0
Albania,ALB,2020-02-09,0,0
Albania,ALB,2020-02-10,0,0
Albania,ALB,2020-02-11,0,0
Albania,ALB,2020-02-12,0,0
Albania,ALB,2020-02-13,0,0
Albania,ALB,2020-02-14,0,0
Albania,ALB,2020-02-15,0,0
Albania,ALB,2020-02-16,0,0
Albania,ALB,2020-02-17,0,0
Albania,ALB,2020-02-18,0,0
Albania,ALB,2020-02-19,0,0
Albania,ALB,2020-02-20,0,0
Albania,ALB,2020-02-21,0,0
Albania,ALB,2020-02-22,0,0
Albania,ALB,2020-02-23,0,0
Albania,ALB,2020-02-24,0,0
Albania,ALB,2020-02-25,0,0
Albania,ALB,2020-02-26,0,0
Albania,ALB,2020-02-27,0,0
Albania,ALB,2020-02-28,0,0
Albania,ALB,2020-02-29,0,0
Albania,ALB,2020-03-01,0,0
Albania,ALB,2020-03-02,0,0
Albania,ALB,2020-03-03,0,0
Albania,ALB,2020-03-04,0,0
Albania,ALB,2020-03-05,0,0
Albania,ALB,2020-03-06,0,0
Albania,ALB,2020-03-07,0,0
Albania,ALB,2020-03-08,0,0
Albania,ALB,2020-03-09,2,0
Albania,ALB,2020-03-10,8,0
Albania,ALB,2020-03-11,2,1
Albania,ALB,2020-03-12,11,0
Albania,ALB,2020-03-13,10,0
Albania,ALB,2020-03-14,5,0
Albania,ALB,2020-03-15,4,0
Albania,ALB,2020-03-16,9,0
Albania,ALB,2020-03-17,4,0
Albania,ALB,2020-03-18,4,1
Albania,ALB,2020-03-19,5,0
Albania,ALB,2020-03-20,6,0
Albania,ALB,2020-03-21,6,0
Albania,ALB,2020-03-22,13,0
Albania,ALB,2020-03-23,15,2
Albania,ALB,2020-03-24,19,1
Albania,ALB,2020-03-25,23,0
Albania,ALB,2020-03-26,28,1
Albania,ALB,2020-03-27,12,2
Albania,ALB,2020-03-28,11,2
Albania,ALB,2020-03-29,15,0
Albania,ALB,2020-03-30,11,1
Albania,ALB,2020-03-31,20,4
Albania,ALB,2020-04-01,16,0
Albania,ALB,2020-04-02,18,1
Albania,ALB,2020-04-03,27,1
Albania,ALB,2020-04-04,29,3
Albania,ALB,2020-04-05,28,0
